X X-Ray Coordinate,Y X-Ray Coordinate,Z X-Ray Coordinate,X Pixel Index,Y Pixel Index,Charge Fraction
4,6,6,0,0,2.5336e-07
4,6,7,0,0,2.79036e-07
4,6,8,0,0,2.97842e-07
4,6,9,0,0,3.09314e-07
4,6,10,0,0,3.1317e-07
4,7,0,0,0,0
4,7,1,0,0,4.25882e-08
4,7,2,0,0,8.41278e-08
4,7,3,0,0,1.23596e-07
4,7,4,0,0,1.60021e-07
4,7,5,0,0,1.92505e-07
4,7,6,0,0,2.2025e-07
4,7,7,0,0,2.42571e-07
4,7,8,0,0,2.58919e-07
4,7,9,0,0,2.68892e-07
4,7,10,0,0,2.72243e-07
4,8,0,0,0,0
4,8,1,0,0,3.696e-08
4,8,2,0,0,7.30099e-08
4,8,3,0,0,1.07262e-07
4,8,4,0,0,1.38873e-07
4,8,5,0,0,1.67065e-07
4,8,6,0,0,1.91142e-07
4,8,7,0,0,2.10514e-07
4,8,8,0,0,2.24701e-07
4,8,9,0,0,2.33356e-07
4,8,10,0,0,2.36265e-07
4,9,0,0,0,0
4,9,1,0,0,3.20212e-08
4,9,2,0,0,6.3254e-08
4,9,3,0,0,9.29293e-08
4,9,4,0,0,1.20316e-07
4,9,5,0,0,1.44741e-07
4,9,6,0,0,1.65601e-07
4,9,7,0,0,1.82384e-07
4,9,8,0,0,1.94676e-07
4,9,9,0,0,2.02174e-07
4,9,10,0,0,2.04694e-07
4,10,0,0,0,0
4,10,1,0,0,2.76955e-08
4,10,2,0,0,5.4709e-08
4,10,3,0,0,8.03754e-08
4,10,4,0,0,1.04063e-07
4,10,5,0,0,1.25188e-07
4,10,6,0,0,1.4323e-07
4,10,7,0,0,1.57746e-07
4,10,8,0,0,1.68377e-07
4,10,9,0,0,1.74862e-07
4,10,10,0,0,1.77042e-07
5,0,0,0,0,0
5,0,1,0,0,9.53693e-08
5,0,2,0,0,1.8839e-07
5,0,3,0,0,2.76772e-07
5,0,4,0,0,3.58339e-07
5,0,5,0,0,4.31083e-07
5,0,6,0,0,4.93212e-07
5,0,7,0,0,5.43196e-07
5,0,8,0,0,5.79805e-07
5,0,9,0,0,6.02138e-07
5,0,10,0,0,6.09643e-07
5,1,0,0,0,0
5,1,1,0,0,8.37956e-08
5,1,2,0,0,1.65528e-07
5,1,3,0,0,2.43184e-07
5,1,4,0,0,3.14853e-07
5,1,5,0,0,3.78768e-07
5,1,6,0,0,4.33358e-07
5,1,7,0,0,4.77276e-07
5,1,8,0,0,5.09442e-07
5,1,9,0,0,5.29065e-07
5,1,10,0,0,5.35659e-07
5,2,0,0,0,0
5,2,1,0,0,7.35004e-08
5,2,2,0,0,1.45191e-07
5,2,3,0,0,2.13307e-07
5,2,4,0,0,2.7617e-07
5,2,5,0,0,3.32233e-07
5,2,6,0,0,3.80115e-07
5,2,7,0,0,4.18638e-07
5,2,8,0,0,4.46852e-07
5,2,9,0,0,4.64064e-07
5,2,10,0,0,4.69848e-07
5,3,0,0,0,0
5,3,1,0,0,6.436e-08
5,3,2,0,0,1.27135e-07
5,3,3,0,0,1.8678e-07
5,3,4,0,0,2.41826e-07
5,3,5,0,0,2.90917e-07
5,3,6,0,0,3.32844e-07
5,3,7,0,0,3.66576e-07
5,3,8,0,0,3.91282e-07
5,3,9,0,0,4.06353e-07
5,3,10,0,0,4.11418e-07
5,4,0,0,0,0
5,4,1,0,0,5.62601e-08
5,4,2,0,0,1.11135e-07
5,4,3,0,0,1.63273e-07
5,4,4,0,0,2.11391e-07
5,4,5,0,0,2.54304e-07
5,4,6,0,0,2.90955e-07
5,4,7,0,0,3.20441e-07
5,4,8,0,0,3.42038e-07
5,4,9,0,0,3.55212e-07
5,4,10,0,0,3.5964e-07
5,5,0,0,0,0
5,5,1,0,0,4.90957e-08
5,5,2,0,0,9.69824e-08
5,5,3,0,0,1.42481e-07
5,5,4,0,0,1.84472e-07
5,5,5,0,0,2.2192e-07
5,5,6,0,0,2.53903e-07
5,5,7,0,0,2.79635e-07
5,5,8,0,0,2.98481e-07
5,5,9,0,0,3.09978e-07
5,5,10,0,0,3.13842e-07
5,6,0,0,0,0
5,6,1,0,0,4.27706e-08
